"","COVID.Year","is_open_code","is_open_data","is_register_pred","is_coi_pred","is_fund_pred"
"1","2019","19(1)","219(12)","168(9)","1439(77)","1731(93)"
"2","2021 FALSE","27(2)","204(12)","152(9)","1280(77)","1507(91)"
"3","2021 TRUE","52(3)","75(4)","126(7)","1490(82)","1628(89)"
